market,feature_time,hour,day_of_week,avg_rate,weighted_avg_rate,min_rate,max_rate,total_amount,avg_period,offer_count,demand_count,rate_spread,previous_weighted_avg_rate,rate_change,amount_change,target_next_weighted_avg_rate
fBTC,2026-07-26T13:54:15.620387+00:00,13,6,3.891854305834602e-08,4.1107616148766756e-08,1e-08,4.39e-08,999.86689614,21.14814814814815,397,2,3.3900000000000006e-08,4.110176025616787e-08,5.855892598883106e-12,0.23104607000004762,4.110220717429417e-08
fBTC,2026-07-26T15:19:16.069110+00:00,15,6,3.947945357686454e-08,4.110220717429417e-08,1e-08,4.41e-08,981.76760778,20.925925925925927,377,2,3.4099999999999994e-08,4.1107616148766756e-08,-5.408974472584646e-12,-18.099288359999946,4.109058364190615e-08
fBTC,2026-07-26T17:13:50.535425+00:00,17,6,3.92417818366312e-08,4.109058364190615e-08,1e-08,4.294297260274e-08,974.44797917,21.444444444444443,378,2,3.294297260274e-08,4.110220717429417e-08,-1.1623532388023088e-11,-7.319628609999995,4.1125203867548344e-08
fBTC,2026-07-26T18:11:12.353556+00:00,18,6,3.950430136986306e-08,4.1125203867548344e-08,1e-08,4.42e-08,979.91868536,21.22222222222222,392,2,3.42e-08,4.109058364190615e-08,3.462022564219666e-11,5.470706189999987,4.110266526018063e-08
fBTC,2026-07-26T19:32:45.597421+00:00,19,6,3.953812125824462e-08,4.110266526018063e-08,1e-08,4.400894520548e-08,867.00958458,21.85185185185185,313,2,3.400894520548e-08,4.1125203867548344e-08,-2.2538607367712373e-11,-112.90910078000002,4.1118939482867936e-08
fBTC,2026-07-26T21:10:25.764816+00:00,21,6,3.879929473201425e-08,4.1118939482867936e-08,1e-08,4.39e-08,870.87419018,21.51851851851852,324,2,3.3900000000000006e-08,4.110266526018063e-08,1.6274222687304016e-11,3.8646056000000044,4.11249897734679e-08
fBTC,2026-07-26T22:11:12.806520+00:00,22,6,3.954047648016239e-08,4.11249897734679e-08,1e-08,4.45e-08,865.28067509,21.59259259259259,316,2,3.45e-08,4.1118939482867936e-08,6.050290599967172e-12,-5.593515089999983,4.1087647431652656e-08
fBTC,2026-07-26T23:10:50.314206+00:00,23,6,3.8936704479756515e-08,4.1087647431652656e-08,1e-08,4.41e-08,858.29508665,21.22222222222222,299,2,3.4099999999999994e-08,4.11249897734679e-08,-3.734234181524773e-11,-6.985588440000015,4.1049269470188865e-08
fBTC,2026-07-27T00:11:12.929117+00:00,0,0,3.742365369457132e-08,4.1049269470188865e-08,1e-08,4.31e-08,852.0800156,21.62962962962963,287,2,3.31e-08,4.1087647431652656e-08,-3.8377961463790844e-11,-6.215071050000006,3.8377843968191356e-08
fBTC,2026-07-27T03:59:46.846093+00:00,3,0,3.735065480669715e-08,3.8377843968191356e-08,1e-08,4.2e-08,848.10525597,21.444444444444443,289,2,3.1999999999999995e-08,4.1049269470188865e-08,-2.6714255019975084e-09,-3.974759629999994,3.890957741808237e-08
fBTC,2026-07-27T07:48:02.022243+00:00,7,0,3.574260819928974e-08,3.890957741808237e-08,1e-08,4.109589041096e-08,1151.4846127199999,21.74074074074074,305,2,3.1095890410960005e-08,3.8377843968191356e-08,5.317334498910136e-10,303.37935674999983,3.8712303028415127e-08
